facility_id,facility_name,sector,subsectors,latitude,longitude
1013368,Gateway Gathering Station,Petroleum and Natural Gas Systems,W9,31.931,-103.6267
1013388,Altus Gathering and Boosting,Petroleum and Natural Gas Systems,W9,32.0344907625549,-102.087996631866
1013398,Garden City Compressor Station,Petroleum and Natural Gas Systems,W4,32.253125,-101.476358
1013400,Orla Gas Plant,Petroleum and Natural Gas Systems,W3,31.809405,-103.895227
1013418,Sierra Grande Gas Processing Plant,Petroleum and Natural Gas Systems,W3,31.791256,-104.108766
1013511,Falcon Gas Plant,Petroleum and Natural Gas Systems,W3,31.9816,-104.065
1013544,Diamond Cryo,Petroleum and Natural Gas Systems,W3,31.00388,-103.754971
1013556,"GCX Rankin Compressor Station, TX",Petroleum and Natural Gas Systems,W4,31.16689129,-101.78310564
1013557,"GCX Waha Compressor Station, TX",Petroleum and Natural Gas Systems,W4,31.26859901,-103.06529395
1013558,Mentone Gas Plant,Petroleum and Natural Gas Systems,W3,31.786111,-103.680555
1013609,Campo Viejo Gas Processing Plant,Petroleum and Natural Gas Systems,W3,33.149918,-102.991166
1013612,WTG North Permian Midstream LLC 430 Permian Basin GB,Petroleum and Natural Gas Systems,W9,31.999241,-102.077096
1013616,Hi-Crush Inc. - Kermit Plant North,Other,C_OTHER,31.924211,-103.085533
1013662,Taylor Gas Plant,Petroleum and Natural Gas Systems,W3,31.845394,-101.775884
1013681,Pecos River Compressor Station,Petroleum and Natural Gas Systems,W4,30.300424,-100.644643
1013688,Grey Ranch,Petroleum and Natural Gas Systems,W4,30.91027,-102.873358
1013701,30-30 Gas Plant,Petroleum and Natural Gas Systems,W3,33.05188,-102.88792
1013724,SCM Pecos Gas Processing Plant,Petroleum and Natural Gas Systems,W3,31.361829,-103.682383
1013726,OWT CS Ector County Compressor Station,Petroleum and Natural Gas Systems,W4,31.847557,-102.445737
1013737,APR - Basin 430 - Gathering & Boosting,Petroleum and Natural Gas Systems,W9,31.99954,-102.07847
1013786,Peregrine Gas Plant,Petroleum and Natural Gas Systems,W3,31.82524,-103.90894
1013787,Gateway/Heim Gas Plant,Petroleum and Natural Gas Systems,W3,31.644859,-101.63231
1013788,Sale Ranch Gas Plant,Petroleum and Natural Gas Systems,W3,32.2225894980154,-101.903378840676
1013789,Martin County Gas Plant,Petroleum and Natural Gas Systems,W3,32.15462,-101.931846
1013814,Tornado Gas Plant,Petroleum and Natural Gas Systems,W3,31.982053,-103.704396
1013840,PHP Coyanosa Compressor Station,Petroleum and Natural Gas Systems,W4,31.2624837146043,-103.031313904478
1013841,PHP Big Lake Compressor Station,Petroleum and Natural Gas Systems,W4,31.110533,-101.569087
1013842,PHP Junction Compressor Station,Petroleum and Natural Gas Systems,W4,30.713275,-100.108222
1013867,St. Lawrence Gas Plant,Petroleum and Natural Gas Systems,W3,31.831525,-101.682689
1013883,Bakersfield Compressor Station,Petroleum and Natural Gas Systems,W4,30.8956323568249,-102.888621619279
1013886,Gaines County Crossover Compressor Station,Petroleum and Natural Gas Systems,W4,32.75497,-102.52418
1013892,Bpx Energy Permian Basin Gathering & Boosting,Petroleum and Natural Gas Systems,W9,31.8596,-104.01947
1013904,Big Lake Cryo Plant,Petroleum and Natural Gas Systems,W3,31.109673,-101.363489
1013932,Mentone Gas Plant,Petroleum and Natural Gas Systems,W3,31.775218,-103.622565
1013952,Collegiate Midstream LLC,Petroleum and Natural Gas Systems,W9,31.99741,-102.07963
1013973,Trident Gas Plant,Petroleum and Natural Gas Systems,W3,31.8877865875589,-101.700753014811
1014093,Rankin Compressor Station,Petroleum and Natural Gas Systems,W4,31.163106,-101.782857
1014094,Waha Compressor Station,Petroleum and Natural Gas Systems,W4,31.2712560062575,-103.100518535596
1014278,Atlas Sand Monahans,Other,C_OTHER,31.8113034146526,-103.073080593196
1014281,Atlas Sand Kermit,Other,C_OTHER,31.9459903835627,-103.009422789116
1014335,Cardinal Delaware Basin - Pecos Gas Plant,Petroleum and Natural Gas Systems,W3,31.82524,-103.90894
1014346,Kermit Compressor Station,Petroleum and Natural Gas Systems,W4,31.8107687754439,-103.073608433298
1014353,"Scurry Midstream, LLC G&P",Petroleum and Natural Gas Systems,W9,32.5845727762739,-100.763358060686
1014362,WHITE WING GAS PROCESSING PLANT,Petroleum and Natural Gas Systems,W3,32.584353,-100.763944
1014368,County Line Processing Plant,Petroleum and Natural Gas Systems,W3,31.870244,-103.868664
1014376,Longwood RB Pipeline - Permian,Petroleum and Natural Gas Systems,W9,32.043601,-103.759299
1014394,Pinnacle Dos Picos Pintail Compressor Station,Petroleum and Natural Gas Systems,W9,31.8988,-101.9099
1014402,Pinnacle Dos Picos Thunderbird Compressor Station,Petroleum and Natural Gas Systems,W9,32.00972,-101.91973
1014485,Legacy Gas Plant,Petroleum and Natural Gas Systems,W3,31.6749058113453,-101.987503377436
1014587,Mhos Substation,Other,DD,32.9063518619655,-101.0075022112
1014588,Bernoulli Substation,Other,DD,31.7991,-101.4662
1014627,Covia Crane Facility,Other,C_OTHER,31.4794328744195,-102.70315038642
1014638,Covia Kermit Facility,Other,C_OTHER,31.9356595850447,-102.983836882325
1014688,Caballo Loco Midstream,Petroleum and Natural Gas Systems,W9,31.0612888,-102.3184307
1014702,Mustang Springs G&B System,Petroleum and Natural Gas Systems,W9,32.357407029851,-101.974057659971
1014729,Tiger Plant,Petroleum and Natural Gas Systems,W3,31.992757,-104.05647
1014794,Red Lake Gas Plant,Petroleum and Natural Gas Systems,W3,32.329555553947,-101.831483965874
1014813,Bakersfield Compressor Station,Petroleum and Natural Gas Systems,W4,30.845,-102.1956
1014814,Nova Prime Substation,Other,DD,33.352005282117,-100.982567528662
1014816,Grey Wolf Gas Plant,Petroleum and Natural Gas Systems,W3,31.7951,-103.2587
1014817,Bear Gas Plant,Petroleum and Natural Gas Systems,W3,31.7746,-103.9021
1014818,OZONA COMPRESSOR STATION,Petroleum and Natural Gas Systems,W4,30.56913,-101.1757
1014825,Greenwood Gas Plant,Petroleum and Natural Gas Systems,W3,31.9708,-101.8914
1014826,Midway Gas Plant,Petroleum and Natural Gas Systems,W3,31.499865,-102.641279
1014908,Pinnacle Dos Picos Blackhawk Compressor Station,Petroleum and Natural Gas Systems,W9,31.806685,-101.784952
1014914,Pinnacle Dos Picos Gas Plant,Petroleum and Natural Gas Systems,W3,31.88345,-101.87142
