"plant_name","operator","county","cap_mmcfd","latitude","longitude"
"Rothermel"," ","Limestone",15,31.46502,-96.43593
"Saint Jo Processing Plant"," ","Montague",110,33.63325,-97.62442
"Sale Ranch Gas Plant","West Texas Gas Processing LP","Martin",250,32.21095,-101.93522
"Salt Creek Processing Plant","Occidental Permian Ltd","Kent",165,33.23243,-100.86873
"San Martin Natural Gas Plant","Enterprise Hydrocarbons L.P.","Bexar",200,29.212,-98.40911
"Seminole Gas Processing Plant","Oxy USA INC","Gaines",285,32.75757,-102.68231
"Shackelford Plant","Davis Gas Processing Inc","Eastland",15,32.27666,-99.18667
"Shackelford Plant","Targa Midstream Services, LLC","Shackelford",15,32.85944,-99.22028
"Shamburger Lake Plant","Valence Operating Company","Smith",2,32.43741,-95.36517
"Sherman","SemGas, LP","Grayson",30,33.68263,-96.63621
"Shilling Gas Plant","Enterprise Products Operating LLC","Webb",110,27.94161,-98.8713
"Shoup Cryogenic Plant","Enterprise Hydrocarbons L.P.","Nueces",285,27.79971,-97.56557
"Silver Creek Plant","Enlink Texas Processing, LP","Parker",200,32.8013,-97.67461
"Silver Oak Plant 1","TPL South Tex Processing Company LP","Bee",260,28.55857,-97.85359
"Slaughter Gasoline Plant","OXY","Hockley",35,33.46809,-102.55952
"Slaughter Gasoline Plant (Mallet)","OXY","Hockley",345,33.459,-102.56162
"Snyder Gasoline Plant","Kinder Morgan CO2","Scurry",90,32.75157,-100.95875
"Sonora Plant","Enterprise Products Operating LLC","Sutton",120,30.29943,-100.64732
"Southwest Ozona","DCP Operating Company, LP","Crockett",90,30.44583,-101.46667
"Spearman Plant","ETC Field Services LLC","Ochiltree",100,36.0858,-101.04801
"Spraberry Plant"," ","Midland",125,31.85783,-101.79196
"Sterling Plant","Targa Resources","Sterling",90,31.97028,-101.23611
"Stockman Plant","Enable Midstream Partners","Shelby",15,31.73996,-94.34102
"Sunray Gas Plant","ETC Field Services LLC","Moore",165,35.9621,-101.81559
"Sutton Sonora Plant","DCP Operating Company, LP","Sutton",62,30.5069,-100.58885
"Sweetwater Creek Gas Plant","Aethon Energy Operating LLC","Wise",12,33.17153,-97.39789
"Targa Sandhills Plt","Targa Resources","Crane",180,31.50111,-102.64083
"Tarzan Gas Plant","Targa Resources","Martin",10,32.37703,-101.91115
"Texas City Processing Plant","Kinder Morgan Tejas Pipeline LLC","Galveston",65,29.37583,-94.94083
"Thompsonville Gas Plant","Enterprise Hydrocarbons L.P.","Jim Hogg",330,27.25736,-98.93725
"Three Rivers","DCP Operating Company, LP","Live Oak",95,28.40578,-98.13589
"Tilden","ETC Field Services LLC","McMullen",150,28.41049,-98.52959
"Tippett Plant","ETC Field Services LLC","Upton",55,31.03752,-102.22282
"Tolar Plant/Black Diamond","DCP Operating Company, LP","Hood",120,32.34394,-97.88872
"Tract 75 Gas Plant","Kinder Morgan Production Company LLC","Pecos",110,30.86889,-101.93056
"Trend Gathering Farrar plant","XTO Energy, Inc.","Limestone",330,31.44472,-96.26194
"Trend Teague Plant","Trend Gathering and Treating L.P.","Freestone",330,31.62764,-96.22039
"Trinidad","Enbridge G & P (East Texas) L.P.","Henderson",65,32.12756,-96.08485
"Tyler Gas Plant","Aethon Energy Operating LLC","Smith",1,32.38384,-95.43441
"Van Plant","UNOCAL - CNAEP","Van Zandt",1.2,32.53861,-95.62501
"Waha Plant","ETC Field Services LLC","Pecos",120,31.26889,-103.08667
"Waskom Gas Processing","Enable Midstream Partners","Harrision",250,32.4717,-94.07278
"Wasson ODC Unit CO2 Removal Plant","Occidental Permian Ltd","Yoakum",100,33.01171,-102.75465
"Wheeler","Enable Products LLC","Wheeler",200,35.52995,-100.28687
"Wheeler","ETC Field Services LLC","Wheeler",60,35.40955,-100.12995
"Wilcox Gas Plant","DCP Operating Company, LP","Lavaca",240,29.3361,-96.67954
"Willard CO2 Recovery Plant","OXY","Yoakum",96,33.02802,-102.8263
"Woodall Plant","ETC Field Services LLC","Hemphill",60,35.69436,-100.22911
"Woodsboro Plant","Southcross Processing LLC","Refugio",200,28.17598,-97.28166
"Worsham-Steed Cryogenic Gas Plant","Worsham-Steed Gas Storage, LLC","Jack",60,33.09954,-98.07189
"WPMT NGL","Occidental Permian Ltd","Yoakum",40,32.92289,-102.8459
"Yoakum Gas Processing Plant","Enterprise Products Operating LLC","Lavaca",900,29.34153,-97.11031
"Zybach"," ","Wheeler",164,35.60501,-100.14833
